# "save.txt" computer generated save file

4
	 0.00000 -1.00000 -1.70000
	 -1.00000 -1.00000 -3.10000
	 -1.00000 0.10000 1.70000
	 0.00000 0.10000 0.10000
FIN_LISTE

100
	 0.10000 1.48800 19.49803 4.45272
	 0.10000 1.47600 19.19052 -5.63241
	 0.10000 1.46400 13.99881 -14.28403
	 0.10000 1.45200 5.24424 -19.30020
	 0.10000 1.44000 -4.84504 -19.40427
	 0.10000 1.42800 -13.70120 -14.56973
	 0.10000 1.41600 -19.07026 -6.02704
	 0.10000 1.40400 -19.58573 4.04960
	 0.10000 1.39200 -15.11641 13.09557
	 0.10000 1.38000 -6.79981 18.80858
	 0.10000 1.36800 3.24743 19.73459
	 0.10000 1.35600 12.46815 15.63794
	 0.10000 1.34400 18.51560 7.56126
	 0.10000 1.33200 19.85062 -2.43985
	 0.10000 1.32000 16.05277 -11.76089
	 0.10000 1.30800 8.17716 -17.90074
	 0.10000 1.29600 -1.58425 -19.39541
	 0.10000 1.28400 -10.72837 -15.97122
	 0.10000 1.27200 -16.96369 -8.60195
	 0.10000 1.26000 -18.78443 0.76503
	 0.10000 1.24800 -15.83306 9.72269
	 0.10000 1.23600 -8.96441 16.02277
	 0.10000 1.22400 -0.00167 18.14000
	 0.10000 1.21200 8.74670 15.64039
	 0.10000 1.20000 15.08146 9.26496
	 0.10000 1.18800 17.46539 0.71453
	 0.10000 1.17600 15.39541 -7.80315
	 0.10000 1.16400 9.50423 -14.14324
	 0.10000 1.15200 1.37241 -16.76392
	 0.10000 1.14000 -6.89463 -15.10047
	 0.10000 1.12800 -13.21151 -9.68300
	 0.10000 1.11600 -16.03894 -1.97435
	 0.10000 1.10400 -14.75804 6.02361
	 0.10000 1.09200 -9.80223 12.28962
	 0.10000 1.08000 -2.51957 15.29385
	 0.10000 1.06800 5.19241 14.37071
	 0.10000 1.05600 11.38085 9.86306
	 0.10000 1.04400 14.53206 3.00747
	 0.10000 1.03200 13.94117 -4.40320
	 0.10000 1.02000 9.86679 -10.48840
	 0.10000 1.00800 3.43766 -13.75699
	 0.10000 0.99600 -3.65801 -13.47222
	 0.10000 0.98400 -9.61538 -9.81489
	 0.10000 0.97200 -12.97209 -3.80989
	 0.10000 0.96000 -12.96673 2.95868
	 0.10000 0.94800 -9.70899 8.76482
	 0.10000 0.93600 -4.12413 12.18077
	 0.10000 0.92400 2.30691 12.42770
	 0.10000 0.91200 7.93963 9.55085
	 0.10000 0.90000 11.38644 4.38051
	 0.10000 0.88800 11.85816 -1.70424
	 0.10000 0.87600 9.34240 -7.14263
	 0.10000 0.86400 4.57936 -10.59250
	 0.10000 0.85200 -1.15202 -11.26123
	 0.10000 0.84000 -6.37651 -9.08571
	 0.10000 0.82800 -9.80229 -4.72117
	 0.10000 0.81600 -10.64008 0.65144
	 0.10000 0.80400 -8.78297 5.64385
	 0.10000 0.79200 -4.80662 9.01914
	 0.10000 0.78000 0.20351 9.99793
	 0.10000 0.76800 4.94709 8.43651
	 0.10000 0.75600 8.24629 4.83656
	 0.10000 0.74400 9.33805 0.19093
	 0.10000 0.73200 8.04878 -4.28853
	 0.10000 0.72000 4.81202 -7.48696
	 0.10000 0.70800 0.53124 -8.66373
	 0.10000 0.69600 -3.67036 -7.62234
	 0.10000 0.68400 -6.74427 -4.73417
	 0.10000 0.67200 -7.97829 -0.81691
	 0.10000 0.66000 -7.15986 3.09458
	 0.10000 0.64800 -4.60439 6.02130
	 0.10000 0.63600 -1.04768 7.28505
	 0.10000 0.62400 2.56306 6.66411
	 0.10000 0.61200 5.32100 4.42418
	 0.10000 0.60000 6.58736 1.22341
	 0.10000 0.58800 6.13793 -2.07754
	 0.10000 0.57600 4.19521 -4.64627
	 0.10000 0.56400 1.34418 -5.88853
	 0.10000 0.55200 -1.63954 -5.58429
	 0.10000 0.54000 -3.99989 -3.91930
	 0.10000 0.52800 -5.19189 -1.41023
	 0.10000 0.51600 -5.00619 1.25048
	 0.10000 0.50400 -3.59841 3.38453
	 0.10000 0.49200 -1.42197 4.50071
	 0.10000 0.48000 0.91156 4.40670
	 0.10000 0.46800 2.80275 3.23466
	 0.10000 0.45600 3.81827 1.38001
	 0.10000 0.44400 3.78898 -0.62385
	 0.10000 0.43200 2.83026 -2.25700
	 0.10000 0.42000 1.28512 -3.14777
	 0.10000 0.40800 -0.38823 -3.15621
	 0.10000 0.39600 -1.74958 -2.38759
	 0.10000 0.38400 -2.49238 -1.13826
	 0.10000 0.37200 -2.51162 0.20539
	 0.10000 0.36000 -1.90912 1.28267
	 0.10000 0.34800 -0.94053 1.85521
	 0.10000 0.33600 0.07586 1.85845
	 0.10000 0.32400 0.85832 1.39746
	 0.10000 0.31200 1.23930 0.69321
	 0.10000 0.30000 1.20000 0.00000
FIN_LISTE

